Comunidad autónoma,Grupo,Año,Mes,IPC
Andalucía,Alimentos y bebidas no alcohólicas,2020,Mayo,107.26
Andalucía,Alimentos y bebidas no alcohólicas,2020,Abril,107.332
Andalucía,Alimentos y bebidas no alcohólicas,2020,Marzo,105.611
Andalucía,Alimentos y bebidas no alcohólicas,2020,Febrero,105.435
Andalucía,Alimentos y bebidas no alcohólicas,2020,Enero,105.058
Andalucía,Bebidas alcohólicas y tabaco,2020,Mayo,104.339
Andalucía,Bebidas alcohólicas y tabaco,2020,Abril,104.174
Andalucía,Bebidas alcohólicas y tabaco,2020,Marzo,103.796
Andalucía,Bebidas alcohólicas y tabaco,2020,Febrero,103.636
Andalucía,Bebidas alcohólicas y tabaco,2020,Enero,103.436
Andalucía,Vestido y calzado,2020,Mayo,110.538
Andalucía,Vestido y calzado,2020,Abril,108.01
Andalucía,Vestido y calzado,2020,Marzo,97.741
Andalucía,Vestido y calzado,2020,Febrero,92.678
Andalucía,Vestido y calzado,2020,Enero,93.68
Andalucía,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Mayo,98.383
Andalucía,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Abril,98.125
Andalucía,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Marzo,99.978
Andalucía,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Febrero,101.957
Andalucía,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Enero,103.149
Andalucía,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Mayo,99.962
Andalucía,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Abril,99.662
Andalucía,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Marzo,99.318
Andalucía,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Febrero,99.146
Andalucía,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Enero,99.063
Andalucía,Sanidad,2020,Mayo,102.148
Andalucía,Sanidad,2020,Abril,101.949
Andalucía,Sanidad,2020,Marzo,101.902
Andalucía,Sanidad,2020,Febrero,101.752
Andalucía,Sanidad,2020,Enero,101.814
Andalucía,Transporte,2020,Mayo,101.291
Andalucía,Transporte,2020,Abril,102.164
Andalucía,Transporte,2020,Marzo,105.747
Andalucía,Transporte,2020,Febrero,109.02
Andalucía,Transporte,2020,Enero,109.68
Andalucía,Comunicaciones,2020,Mayo,105.074
Andalucía,Comunicaciones,2020,Abril,105.191
Andalucía,Comunicaciones,2020,Marzo,105.362
Andalucía,Comunicaciones,2020,Febrero,104.078
Andalucía,Comunicaciones,2020,Enero,104.085
Andalucía,Ocio y cultura,2020,Mayo,98.653
Andalucía,Ocio y cultura,2020,Abril,99.854
Andalucía,Ocio y cultura,2020,Marzo,99.187
Andalucía,Ocio y cultura,2020,Febrero,99.457
Andalucía,Ocio y cultura,2020,Enero,98.591
Andalucía,Enseñanza,2020,Mayo,104.79
Andalucía,Enseñanza,2020,Abril,104.849
Andalucía,Enseñanza,2020,Marzo,104.836
Andalucía,Enseñanza,2020,Febrero,104.836
Andalucía,Enseñanza,2020,Enero,104.836
Andalucía,Restaurantes y hoteles,2020,Mayo,107.553
Andalucía,Restaurantes y hoteles,2020,Abril,107.119
Andalucía,Restaurantes y hoteles,2020,Marzo,106.458
Andalucía,Restaurantes y hoteles,2020,Febrero,106.251
Andalucía,Restaurantes y hoteles,2020,Enero,105.319
Andalucía,Otros bienes y servicios ,2020,Mayo,103.877
Andalucía,Otros bienes y servicios ,2020,Abril,103.776
Andalucía,Otros bienes y servicios ,2020,Marzo,103.501
Andalucía,Otros bienes y servicios ,2020,Febrero,103.304
Andalucía,Otros bienes y servicios ,2020,Enero,103.153
Aragón,Alimentos y bebidas no alcohólicas,2020,Mayo,106.041
Aragón,Alimentos y bebidas no alcohólicas,2020,Abril,105.694
Aragón,Alimentos y bebidas no alcohólicas,2020,Marzo,105.335
Aragón,Alimentos y bebidas no alcohólicas,2020,Febrero,105.065
Aragón,Alimentos y bebidas no alcohólicas,2020,Enero,104.443
Aragón,Bebidas alcohólicas y tabaco,2020,Mayo,104.306
Aragón,Bebidas alcohólicas y tabaco,2020,Abril,104.224
Aragón,Bebidas alcohólicas y tabaco,2020,Marzo,104.385
Aragón,Bebidas alcohólicas y tabaco,2020,Febrero,104.352
Aragón,Bebidas alcohólicas y tabaco,2020,Enero,103.566
Aragón,Vestido y calzado,2020,Mayo,110.459
Aragón,Vestido y calzado,2020,Abril,107.142
Aragón,Vestido y calzado,2020,Marzo,96.963
Aragón,Vestido y calzado,2020,Febrero,93.753
Aragón,Vestido y calzado,2020,Enero,94.637
Aragón,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Mayo,97.694
Aragón,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Abril,97.776
Aragón,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Marzo,100.427
Aragón,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Febrero,103.074
Aragón,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Enero,104.712
Aragón,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Mayo,99.107
Aragón,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Abril,99.065
Aragón,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Marzo,98.634
Aragón,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Febrero,98.146
Aragón,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Enero,98.362
Aragón,Sanidad,2020,Mayo,102.918
Aragón,Sanidad,2020,Abril,102.2
Aragón,Sanidad,2020,Marzo,101.987
Aragón,Sanidad,2020,Febrero,101.866
Aragón,Sanidad,2020,Enero,101.887
Aragón,Transporte,2020,Mayo,101.013
Aragón,Transporte,2020,Abril,101.984
Aragón,Transporte,2020,Marzo,105.605
Aragón,Transporte,2020,Febrero,109.204
Aragón,Transporte,2020,Enero,110.181
Aragón,Comunicaciones,2020,Mayo,105.162
Aragón,Comunicaciones,2020,Abril,105.277
Aragón,Comunicaciones,2020,Marzo,105.448
Aragón,Comunicaciones,2020,Febrero,104.163
Aragón,Comunicaciones,2020,Enero,104.167
Aragón,Ocio y cultura,2020,Mayo,97.619
Aragón,Ocio y cultura,2020,Abril,99.294
Aragón,Ocio y cultura,2020,Marzo,98.676
Aragón,Ocio y cultura,2020,Febrero,98.772
Aragón,Ocio y cultura,2020,Enero,98.214
Aragón,Enseñanza,2020,Mayo,103.877
Aragón,Enseñanza,2020,Abril,103.877
Aragón,Enseñanza,2020,Marzo,103.868
Aragón,Enseñanza,2020,Febrero,103.868
Aragón,Enseñanza,2020,Enero,103.868
Aragón,Restaurantes y hoteles,2020,Mayo,109.468
Aragón,Restaurantes y hoteles,2020,Abril,108.978
Aragón,Restaurantes y hoteles,2020,Marzo,107.91
Aragón,Restaurantes y hoteles,2020,Febrero,108.262
Aragón,Restaurantes y hoteles,2020,Enero,107.34
Aragón,Otros bienes y servicios ,2020,Mayo,104.294
Aragón,Otros bienes y servicios ,2020,Abril,104.389
Aragón,Otros bienes y servicios ,2020,Marzo,103.935
Aragón,Otros bienes y servicios ,2020,Febrero,103.706
Aragón,Otros bienes y servicios ,2020,Enero,103.577
"Asturias, Principado de",Alimentos y bebidas no alcohólicas,2020,Mayo,105.825
"Asturias, Principado de",Alimentos y bebidas no alcohólicas,2020,Abril,106.134
"Asturias, Principado de",Alimentos y bebidas no alcohólicas,2020,Marzo,104.46
"Asturias, Principado de",Alimentos y bebidas no alcohólicas,2020,Febrero,104.033
"Asturias, Principado de",Alimentos y bebidas no alcohólicas,2020,Enero,104.422
"Asturias, Principado de",Bebidas alcohólicas y tabaco,2020,Mayo,105.059
"Asturias, Principado de",Bebidas alcohólicas y tabaco,2020,Abril,104.249
"Asturias, Principado de",Bebidas alcohólicas y tabaco,2020,Marzo,104.557
"Asturias, Principado de",Bebidas alcohólicas y tabaco,2020,Febrero,104.707
"Asturias, Principado de",Bebidas alcohólicas y tabaco,2020,Enero,103.605
"Asturias, Principado de",Vestido y calzado,2020,Mayo,111.028
"Asturias, Principado de",Vestido y calzado,2020,Abril,106.755
"Asturias, Principado de",Vestido y calzado,2020,Marzo,95.816
"Asturias, Principado de",Vestido y calzado,2020,Febrero,93.042
"Asturias, Principado de",Vestido y calzado,2020,Enero,93.686
"Asturias, Principado de","Vivienda, agua, electricidad, gas y otros combustibles",2020,Mayo,97.678
"Asturias, Principado de","Vivienda, agua, electricidad, gas y otros combustibles",2020,Abril,97.715
"Asturias, Principado de","Vivienda, agua, electricidad, gas y otros combustibles",2020,Marzo,100.205
"Asturias, Principado de","Vivienda, agua, electricidad, gas y otros combustibles",2020,Febrero,102.618
"Asturias, Principado de","Vivienda, agua, electricidad, gas y otros combustibles",2020,Enero,104.187
"Asturias, Principado de","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Mayo,100.847
"Asturias, Principado de","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Abril,100.878
"Asturias, Principado de","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Marzo,100.782
"Asturias, Principado de","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Febrero,100.255
"Asturias, Principado de","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Enero,99.575
"Asturias, Principado de",Sanidad,2020,Mayo,100.733
"Asturias, Principado de",Sanidad,2020,Abril,100.71
"Asturias, Principado de",Sanidad,2020,Marzo,100.663
"Asturias, Principado de",Sanidad,2020,Febrero,100.628
"Asturias, Principado de",Sanidad,2020,Enero,100.19
"Asturias, Principado de",Transporte,2020,Mayo,101.14
"Asturias, Principado de",Transporte,2020,Abril,101.701
"Asturias, Principado de",Transporte,2020,Marzo,105.171
"Asturias, Principado de",Transporte,2020,Febrero,108.66
"Asturias, Principado de",Transporte,2020,Enero,109.423
"Asturias, Principado de",Comunicaciones,2020,Mayo,104.237
"Asturias, Principado de",Comunicaciones,2020,Abril,104.373
"Asturias, Principado de",Comunicaciones,2020,Marzo,104.544
"Asturias, Principado de",Comunicaciones,2020,Febrero,103.314
"Asturias, Principado de",Comunicaciones,2020,Enero,103.35
"Asturias, Principado de",Ocio y cultura,2020,Mayo,97.193
"Asturias, Principado de",Ocio y cultura,2020,Abril,98.523
"Asturias, Principado de",Ocio y cultura,2020,Marzo,97.737
"Asturias, Principado de",Ocio y cultura,2020,Febrero,98.11
"Asturias, Principado de",Ocio y cultura,2020,Enero,97.813
"Asturias, Principado de",Enseñanza,2020,Mayo,99.609
"Asturias, Principado de",Enseñanza,2020,Abril,99.609
"Asturias, Principado de",Enseñanza,2020,Marzo,99.591
"Asturias, Principado de",Enseñanza,2020,Febrero,99.591
"Asturias, Principado de",Enseñanza,2020,Enero,99.591
"Asturias, Principado de",Restaurantes y hoteles,2020,Mayo,106.653
"Asturias, Principado de",Restaurantes y hoteles,2020,Abril,106.168
"Asturias, Principado de",Restaurantes y hoteles,2020,Marzo,105.536
"Asturias, Principado de",Restaurantes y hoteles,2020,Febrero,105.106
"Asturias, Principado de",Restaurantes y hoteles,2020,Enero,104.979
"Asturias, Principado de",Otros bienes y servicios ,2020,Mayo,105.984
"Asturias, Principado de",Otros bienes y servicios ,2020,Abril,106.161
"Asturias, Principado de",Otros bienes y servicios ,2020,Marzo,105.966
"Asturias, Principado de",Otros bienes y servicios ,2020,Febrero,105.855
"Asturias, Principado de",Otros bienes y servicios ,2020,Enero,105.397
"Balears, Illes",Alimentos y bebidas no alcohólicas,2020,Mayo,106.229
"Balears, Illes",Alimentos y bebidas no alcohólicas,2020,Abril,105.956
"Balears, Illes",Alimentos y bebidas no alcohólicas,2020,Marzo,105.449
"Balears, Illes",Alimentos y bebidas no alcohólicas,2020,Febrero,104.899
"Balears, Illes",Alimentos y bebidas no alcohólicas,2020,Enero,104.567
"Balears, Illes",Bebidas alcohólicas y tabaco,2020,Mayo,103.459
"Balears, Illes",Bebidas alcohólicas y tabaco,2020,Abril,103.189
"Balears, Illes",Bebidas alcohólicas y tabaco,2020,Marzo,103.277
"Balears, Illes",Bebidas alcohólicas y tabaco,2020,Febrero,103.248
"Balears, Illes",Bebidas alcohólicas y tabaco,2020,Enero,102.901
"Balears, Illes",Vestido y calzado,2020,Mayo,110.175
"Balears, Illes",Vestido y calzado,2020,Abril,105.968
"Balears, Illes",Vestido y calzado,2020,Marzo,97.765
"Balears, Illes",Vestido y calzado,2020,Febrero,94.291
"Balears, Illes",Vestido y calzado,2020,Enero,96.344
"Balears, Illes","Vivienda, agua, electricidad, gas y otros combustibles",2020,Mayo,100.221
"Balears, Illes","Vivienda, agua, electricidad, gas y otros combustibles",2020,Abril,100.065
"Balears, Illes","Vivienda, agua, electricidad, gas y otros combustibles",2020,Marzo,101.798
"Balears, Illes","Vivienda, agua, electricidad, gas y otros combustibles",2020,Febrero,103.503
"Balears, Illes","Vivienda, agua, electricidad, gas y otros combustibles",2020,Enero,104.772
"Balears, Illes","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Mayo,100.344
"Balears, Illes","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Abril,100.74
"Balears, Illes","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Marzo,100.677
"Balears, Illes","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Febrero,100.293
"Balears, Illes","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Enero,100.208
"Balears, Illes",Sanidad,2020,Mayo,101.172
"Balears, Illes",Sanidad,2020,Abril,101.22
"Balears, Illes",Sanidad,2020,Marzo,101.182
"Balears, Illes",Sanidad,2020,Febrero,100.042
"Balears, Illes",Sanidad,2020,Enero,100.258
"Balears, Illes",Transporte,2020,Mayo,100.466
"Balears, Illes",Transporte,2020,Abril,101.137
"Balears, Illes",Transporte,2020,Marzo,103.939
"Balears, Illes",Transporte,2020,Febrero,107.101
"Balears, Illes",Transporte,2020,Enero,107.38
"Balears, Illes",Comunicaciones,2020,Mayo,106.137
"Balears, Illes",Comunicaciones,2020,Abril,106.229
"Balears, Illes",Comunicaciones,2020,Marzo,106.4
"Balears, Illes",Comunicaciones,2020,Febrero,105.044
"Balears, Illes",Comunicaciones,2020,Enero,105.011
"Balears, Illes",Ocio y cultura,2020,Mayo,98.889
"Balears, Illes",Ocio y cultura,2020,Abril,99.852
"Balears, Illes",Ocio y cultura,2020,Marzo,99.395
"Balears, Illes",Ocio y cultura,2020,Febrero,99.534
"Balears, Illes",Ocio y cultura,2020,Enero,99.438
"Balears, Illes",Enseñanza,2020,Mayo,105.125
"Balears, Illes",Enseñanza,2020,Abril,105.125
"Balears, Illes",Enseñanza,2020,Marzo,105.117
"Balears, Illes",Enseñanza,2020,Febrero,105.117
"Balears, Illes",Enseñanza,2020,Enero,105.117
"Balears, Illes",Restaurantes y hoteles,2020,Mayo,108.468
"Balears, Illes",Restaurantes y hoteles,2020,Abril,108.053
"Balears, Illes",Restaurantes y hoteles,2020,Marzo,107.429
"Balears, Illes",Restaurantes y hoteles,2020,Febrero,107.044
"Balears, Illes",Restaurantes y hoteles,2020,Enero,106.642
"Balears, Illes",Otros bienes y servicios ,2020,Mayo,105.325
"Balears, Illes",Otros bienes y servicios ,2020,Abril,105.259
"Balears, Illes",Otros bienes y servicios ,2020,Marzo,105.007
"Balears, Illes",Otros bienes y servicios ,2020,Febrero,104.923
"Balears, Illes",Otros bienes y servicios ,2020,Enero,104.533
Canarias,Alimentos y bebidas no alcohólicas,2020,Mayo,106.183
Canarias,Alimentos y bebidas no alcohólicas,2020,Abril,106.066
Canarias,Alimentos y bebidas no alcohólicas,2020,Marzo,105.856
Canarias,Alimentos y bebidas no alcohólicas,2020,Febrero,105.622
Canarias,Alimentos y bebidas no alcohólicas,2020,Enero,105.389
Canarias,Bebidas alcohólicas y tabaco,2020,Mayo,118.69
Canarias,Bebidas alcohólicas y tabaco,2020,Abril,118.571
Canarias,Bebidas alcohólicas y tabaco,2020,Marzo,118.868
Canarias,Bebidas alcohólicas y tabaco,2020,Febrero,117.685
Canarias,Bebidas alcohólicas y tabaco,2020,Enero,116.19
Canarias,Vestido y calzado,2020,Mayo,111.108
Canarias,Vestido y calzado,2020,Abril,108.705
Canarias,Vestido y calzado,2020,Marzo,97.336
Canarias,Vestido y calzado,2020,Febrero,91.418
Canarias,Vestido y calzado,2020,Enero,93.234
Canarias,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Mayo,99.291
Canarias,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Abril,99.132
Canarias,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Marzo,100.459
Canarias,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Febrero,101.869
Canarias,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Enero,102.675
Canarias,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Mayo,98.667
Canarias,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Abril,98.729
Canarias,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Marzo,98.028
Canarias,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Febrero,97.962
Canarias,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Enero,97.914
Canarias,Sanidad,2020,Mayo,100.323
Canarias,Sanidad,2020,Abril,100.275
Canarias,Sanidad,2020,Marzo,100.224
Canarias,Sanidad,2020,Febrero,100.218
Canarias,Sanidad,2020,Enero,100.29
Canarias,Transporte,2020,Mayo,105.817
Canarias,Transporte,2020,Abril,106.875
Canarias,Transporte,2020,Marzo,108.579
Canarias,Transporte,2020,Febrero,110.113
Canarias,Transporte,2020,Enero,109.81
Canarias,Comunicaciones,2020,Mayo,104.871
Canarias,Comunicaciones,2020,Abril,104.992
Canarias,Comunicaciones,2020,Marzo,105.163
Canarias,Comunicaciones,2020,Febrero,103.889
Canarias,Comunicaciones,2020,Enero,103.902
Canarias,Ocio y cultura,2020,Mayo,97.686
Canarias,Ocio y cultura,2020,Abril,98.867
Canarias,Ocio y cultura,2020,Marzo,97.914
Canarias,Ocio y cultura,2020,Febrero,98.371
Canarias,Ocio y cultura,2020,Enero,97.893
Canarias,Enseñanza,2020,Mayo,100.905
Canarias,Enseñanza,2020,Abril,101.032
Canarias,Enseñanza,2020,Marzo,101.021
Canarias,Enseñanza,2020,Febrero,101.022
Canarias,Enseñanza,2020,Enero,101.022
Canarias,Restaurantes y hoteles,2020,Mayo,108.149
Canarias,Restaurantes y hoteles,2020,Abril,107.53
Canarias,Restaurantes y hoteles,2020,Marzo,106.963
Canarias,Restaurantes y hoteles,2020,Febrero,107.08
Canarias,Restaurantes y hoteles,2020,Enero,106.756
Canarias,Otros bienes y servicios ,2020,Mayo,103.802
Canarias,Otros bienes y servicios ,2020,Abril,103.462
Canarias,Otros bienes y servicios ,2020,Marzo,103.445
Canarias,Otros bienes y servicios ,2020,Febrero,103.413
Canarias,Otros bienes y servicios ,2020,Enero,102.665
Cantabria,Alimentos y bebidas no alcohólicas,2020,Mayo,106.718
Cantabria,Alimentos y bebidas no alcohólicas,2020,Abril,106.898
Cantabria,Alimentos y bebidas no alcohólicas,2020,Marzo,105.193
Cantabria,Alimentos y bebidas no alcohólicas,2020,Febrero,105.107
Cantabria,Alimentos y bebidas no alcohólicas,2020,Enero,104.224
Cantabria,Bebidas alcohólicas y tabaco,2020,Mayo,104.21
Cantabria,Bebidas alcohólicas y tabaco,2020,Abril,104.006
Cantabria,Bebidas alcohólicas y tabaco,2020,Marzo,104.119
Cantabria,Bebidas alcohólicas y tabaco,2020,Febrero,104.108
Cantabria,Bebidas alcohólicas y tabaco,2020,Enero,103.739
Cantabria,Vestido y calzado,2020,Mayo,108.784
Cantabria,Vestido y calzado,2020,Abril,104.504
Cantabria,Vestido y calzado,2020,Marzo,96.872
Cantabria,Vestido y calzado,2020,Febrero,94.552
Cantabria,Vestido y calzado,2020,Enero,97.936
Cantabria,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Mayo,97.667
Cantabria,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Abril,97.698
Cantabria,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Marzo,99.726
Cantabria,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Febrero,101.677
Cantabria,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Enero,102.962
Cantabria,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Mayo,100.329
Cantabria,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Abril,99.949
Cantabria,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Marzo,99.507
Cantabria,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Febrero,99.175
Cantabria,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Enero,99.153
Cantabria,Sanidad,2020,Mayo,103.825
Cantabria,Sanidad,2020,Abril,103.941
Cantabria,Sanidad,2020,Marzo,103.901
Cantabria,Sanidad,2020,Febrero,103.896
Cantabria,Sanidad,2020,Enero,103.647
Cantabria,Transporte,2020,Mayo,103.906
Cantabria,Transporte,2020,Abril,104.61
Cantabria,Transporte,2020,Marzo,108.251
Cantabria,Transporte,2020,Febrero,112.231
Cantabria,Transporte,2020,Enero,113.443
Cantabria,Comunicaciones,2020,Mayo,106.562
Cantabria,Comunicaciones,2020,Abril,106.646
Cantabria,Comunicaciones,2020,Marzo,106.816
Cantabria,Comunicaciones,2020,Febrero,105.454
Cantabria,Comunicaciones,2020,Enero,105.41
Cantabria,Ocio y cultura,2020,Mayo,96.602
Cantabria,Ocio y cultura,2020,Abril,98.598
Cantabria,Ocio y cultura,2020,Marzo,97.737
Cantabria,Ocio y cultura,2020,Febrero,97.561
Cantabria,Ocio y cultura,2020,Enero,96.851
Cantabria,Enseñanza,2020,Mayo,102.509
Cantabria,Enseñanza,2020,Abril,102.479
Cantabria,Enseñanza,2020,Marzo,102.469
Cantabria,Enseñanza,2020,Febrero,102.469
Cantabria,Enseñanza,2020,Enero,102.463
Cantabria,Restaurantes y hoteles,2020,Mayo,107.55
Cantabria,Restaurantes y hoteles,2020,Abril,107.128
Cantabria,Restaurantes y hoteles,2020,Marzo,106.49
Cantabria,Restaurantes y hoteles,2020,Febrero,106.252
Cantabria,Restaurantes y hoteles,2020,Enero,106.101
Cantabria,Otros bienes y servicios ,2020,Mayo,104.204
Cantabria,Otros bienes y servicios ,2020,Abril,104.253
Cantabria,Otros bienes y servicios ,2020,Marzo,103.678
Cantabria,Otros bienes y servicios ,2020,Febrero,103.742
Cantabria,Otros bienes y servicios ,2020,Enero,102.456
Castilla y León,Alimentos y bebidas no alcohólicas,2020,Mayo,107.402
Castilla y León,Alimentos y bebidas no alcohólicas,2020,Abril,107.406
Castilla y León,Alimentos y bebidas no alcohólicas,2020,Marzo,105.91
Castilla y León,Alimentos y bebidas no alcohólicas,2020,Febrero,105.773
Castilla y León,Alimentos y bebidas no alcohólicas,2020,Enero,105.516
Castilla y León,Bebidas alcohólicas y tabaco,2020,Mayo,104.857
Castilla y León,Bebidas alcohólicas y tabaco,2020,Abril,104.741
Castilla y León,Bebidas alcohólicas y tabaco,2020,Marzo,104.612
Castilla y León,Bebidas alcohólicas y tabaco,2020,Febrero,104.592
Castilla y León,Bebidas alcohólicas y tabaco,2020,Enero,103.837
Castilla y León,Vestido y calzado,2020,Mayo,109.456
Castilla y León,Vestido y calzado,2020,Abril,106.846
Castilla y León,Vestido y calzado,2020,Marzo,97.691
Castilla y León,Vestido y calzado,2020,Febrero,93.837
Castilla y León,Vestido y calzado,2020,Enero,95.105
Castilla y León,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Mayo,96.836
Castilla y León,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Abril,97.13
Castilla y León,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Marzo,100.308
Castilla y León,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Febrero,103.334
Castilla y León,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Enero,105.118
Castilla y León,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Mayo,101.762
Castilla y León,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Abril,101.587
